ip address,hostname,"vender:cisco_xe,cisco_xr,juniper,nokia,arrcus,server","tty type:telnet ssh",unique ID,unique password,show command numbers,clear log:yes,show run:yes
10.1.4.84,GK4S7M8YZH2LNP,nokia,ssh,mary.brown,7nhnlqqz,9,yes,
10.1.4.247,2RDKL5O79D7D4A,server,ssh,robert.brown,EwDtdTbN,7,yes,yes
10.1.4.29,4NLV-RVZE9BNYN,arrcus,ssh,elizabeth.wilson,fcxZ8LCnk,1,yes,yes
10.1.4.136,18C078OSOTZ-3U,nokia,ssh,jennifer.anderson,MEo2zu0n,8,,yes
10.1.4.59,5NPV-GK24B4N8U,nokia,ssh,linda.wilson,d3Hfyoz2M,9,yes,yes
10.1.4.134,RH8CGYS95T1PRR,nokia,ssh,patricia.miller,zxrffshb,3,,yes
10.1.4.65,FPFUC1ZQ3H4VMN,server,ssh,mary.williams,MNfuJlXdh,8,yes,yes
10.1.4.188,WMI93BX9-RJG7W,cisco_xe,ssh,mary.anderson,6JZoIlEgC,1,,
10.1.4.58,WCB-PKS73-7502,arrcus,ssh,jennifer.moore,l0AmerbXAU,2,yes,
10.1.4.254,RUGIP42FELMDGK,cisco_xe,ssh,,8,yes,
10.1.4.31,Q1J9SOTRB3VDF3,cisco_xe,ssh,john.smith,ge38QdUe0,7,,
10.1.4.156,TTP6RHT25QOH2U,cisco_xr,ssh,patricia.taylor,H92cETEQzc,5,yes,yes
10.1.4.249,2-HJOQXL3DE2PH,cisco_xr,ssh,,2,yes,
10.1.4.234,4QF-JXCRYVKOF4,cisco_xe,telnet,john.davis,LjjQvoB3w,2,yes,yes
10.1.4.50,OZCADL1PUPKHHM,cisco_xr,ssh,jennifer.jones,5YydadjXj,8,yes,yes
10.1.4.52,PZKK6BO2QN6EZ-,arrcus,ssh,michael.williams,kYS4rii1,3,yes,yes
10.1.4.105,FTJML03ZK3Y0UN,cisco_xr,ssh,,,yes,yes
10.1.4.133,OBGRDTSH0P7DHB,nokia,ssh,linda.anderson,2AcD0uzQ,9,yes,yes
10.1.4.242,PJW4O0RVW90JWQ,server,ssh,linda.anderson,RCjUB6Rw5P,9,yes,
10.1.4.247,UTNE1Y6MQ6LUD3,cisco_xr,ssh,william.davis,catKp9oM0,2,,
10.1.4.172,QT3DV6T2NG8ZXD,arrcus,ssh,michael.miller,XRaGMzvlZA,8,yes,yes
10.1.4.238,O9U5N10YA1337-,cisco_xr,ssh,mary.brown,s83ZQ5Us,1,yes,yes
10.1.4.61,BFW0VOSFCL5-6A,cisco_xr,ssh,james.wilson,prXg00RE,3,,yes
10.1.4.32,2PXFG7JDM806PP,server,telnet,william.jones,oHm9jI87e,8,yes,
10.1.4.46,7U9CE8IFVWVS64,server,telnet,william.williams,HrKKtOOa,1,,yes
10.1.4.15,9I6F29XTBEBCIN,server,telnet,patricia.miller,0m5xNRiN,6,yes,
10.1.4.254,8WF4WV523CJH8R,cisco_xr,ssh,robert.williams,qag8TNw7MI,4,,
10.1.4.155,03IQ591P-T98PD,server,telnet,william.anderson,wjhvtTcd,7,yes,
10.1.4.189,Y4IYPN4BUD-3QK,cisco_xe,ssh,elizabeth.davis,TlhPJY2Qd,2,yes,
10.1.4.123,28ZLRZ9U6533TP,nokia,ssh,elizabeth.davis,YQbl3lQHDa,1,yes,
10.1.4.152,E5F980ZC77I-OG,server,telnet,elizabeth.anderson,zGwU2c2fi5,8,,yes
10.1.4.145,UF2MWENKI7LNR4,nokia,ssh,jennifer.taylor,PoKZ0EBj4H,8,,yes
10.1.4.47,V2MNKA35WYUR3P,cisco_xr,ssh,william.anderson,kRYbSuUCx,9,,yes
10.1.4.108,33GVXP5Q4LIRNM,server,ssh,john.taylor,9JBjFCse,2,,
10.1.4.32,T02S9MZHTZCCST,nokia,ssh,elizabeth.williams,fTuaUE6YBX,3,yes,yes
10.1.4.127,D2I4QHCX307ICA,cisco_xe,ssh,elizabeth.anderson,rd0sj6Ux,9,yes,yes
10.1.4.163,JH48PCX6AF1BHC,cisco_xr,ssh,linda.miller,kgUdtwcY1,7,,
10.1.4.231,LRZ4U29TJHLZZ6,nokia,ssh,robert.taylor,QmqIm47m,3,,yes
10.1.4.217,J57A10JA1AH19I,arrcus,ssh,mary.williams,6MgjyalS7,3,,yes
10.1.4.157,N40X0Q7HGAQZOC,arrcus,ssh,robert.moore,rxGiBUdDnA,9,yes,yes
